Sample,variable,value
10A_1x-DB2 | 16-Oct-18 ,Basal.Resp,34.86731349370255
4A_4y-DB2 | 09-03-2018,Non.Mito.Resp,14.523350908471599
5A_1-DB2 | 27-03-2018,Non.Mito.Resp,15.174018165748585
5A_2x-DB2 | 23-04-2018,Non.Mito.Resp,15.10262532213126
5A_2y-DB2 | 23-04-2018,Non.Mito.Resp,18.318128078971768
5A_3-DB2 | 02-05-2018,Non.Mito.Resp,16.81477478553354
5A_4x-DB2 | 25-05-2018,Non.Mito.Resp,17.192172597272307
5A_4y-DB2 | 25-05-2018,Non.Mito.Resp,15.860894994008579
6G_1-DB2 | 27-03-2018,Non.Mito.Resp,14.799152331848145
6G_2x-DB2 | 19-04-2018,Non.Mito.Resp,18.82047402977409
6G_2y-DB2 | 19-04-2018,Non.Mito.Resp,20.004248039210296
6G_3-DB2 | 02-05-2018,Non.Mito.Resp,16.11170970747953
6G_4x-DB2 | 24-05-2018,Non.Mito.Resp,15.563669128634238
6G_4y-DB2 | 24-05-2018,Non.Mito.Resp,14.71040159505981
7A_2x-DB2 | 17-08-2018,Non.Mito.Resp,9.412487367046074
7A_2y-DB2 | 17-08-2018,Non.Mito.Resp,8.277507497475105
7A_3x-DB2 | 29-08-2018,Non.Mito.Resp,14.458056197659864
7A_3y-DB2 | 29-08-2018,Non.Mito.Resp,14.273305444846523
7A_4x-DB2 | 21-09-2018,Non.Mito.Resp,17.589159104359453
7A_4y-DB2 | 21-09-2018,Non.Mito.Resp,17.42331265377483
9A_1x-DB2 | 02-07-2018,Non.Mito.Resp,12.222630951940094
9A_1y-DB2 | 02-07-2018,Non.Mito.Resp,10.013894631493098
9A_3x-DB2 | 23-Aug-18 ,Non.Mito.Resp,12.313180110798381
9A_3y-DB2 | 23-Aug-18 ,Non.Mito.Resp,13.66828648533619
9A_4x-DB2 | 17-Sep-18 ,Non.Mito.Resp,8.538996723797014
